model_name,val_acc,val_eer,test_acc,test_f1,test_eer,test_real_acc,test_fake_acc,train_time
SVM_RBF_C1,0.9854045037531276,0.01501251042535447,0.9879267277268943,0.9880313660751135,0.014571190674437988,0.9791840133222315,0.9966694421315571,25.701796054840088
SVM_RBF_C0.1,0.9578815679733111,0.040867389491242696,0.9571190674437968,0.9578387228817028,0.0466278101582015,0.9400499583680266,0.974188176519567,38.7123498916626
SVM_Linear,0.9161801501251042,0.08423686405337782,0.9196502914238135,0.9182549767047861,0.07701915070774357,0.9367194004995837,0.9025811823480433,23.218238592147827
MLP_hidden_64_32,0.9774812343619683,0.02168473728106756,0.9816819317235637,0.9816819317235637,0.01790174854288095,0.9816819317235637,0.9816819317235637,5.9222776889801025
HistGradientBoosting,0.9862385321100917,0.012093411175979962,0.9833472106577852,0.9835390946502057,0.014571190674437988,0.9716902581182348,0.9950041631973355,6.9258551597595215
RandomForest,0.9457881567973311,0.0458715596330275,0.9475437135720233,0.9490703314470493,0.0466278101582015,0.9175686927560366,0.97751873438801,8.752583742141724
